
------ 3390258342 ::  ------

3153010942::CN::RM_4c0fd70e-e6b4-46a3-a5dd-141cc1568015 = "抱歉,蒂米...",
3153010942::EN::RM_4e21db6d-bb29-41e1-8d45-2826a0aeeb8b = "Good afternoon, I'm Doctor Monroe...",
3153010942::CN::RM_4e21db6d-bb29-41e1-8d45-2826a0aeeb8b = "下午好,我是门罗医生...",
3153010942::EN::RM_4f55cadf-0c4a-4759-b124-159ad057ef88 = "Your mom can do that for you!",
3153010942::CN::RM_4f55cadf-0c4a-4759-b124-159ad057ef88 = "你妈妈可以帮你换!",
3153010942::EN::RM_5030824d-4b60-462c-aae5-d62ed749e5ff = "We can move him onto the stretcher.",
3153010942::CN::RM_5030824d-4b60-462c-aae5-d62ed749e5ff = "我们可以把他抬上担架了.",
3153010942::EN::RM_5286b54c-4c01-402e-9679-75501c37b0ff = "Thank you, doctor!",
3153010942::CN::RM_5286b54c-4c01-402e-9679-75501c37b0ff = "谢谢你,医生!",
3153010942::EN::RM_56112af6-3920-4202-a298-f1d0b7230689 = "Let's grab some cotton balls...",
3153010942::CN::RM_56112af6-3920-4202-a298-f1d0b7230689 = "我们拿些棉球...",
3153010942::EN::RM_594995d6-4e63-4c81-a814-9e7af1c0ebf9 = "I'll be looking after you today.",
3153010942::CN::RM_594995d6-4e63-4c81-a814-9e7af1c0ebf9 = "今天由我来照顾你.",
3153010942::EN::RM_59f33ecc-113a-4a8b-b7a9-b670a1723f69 = "The time is 01:17am...",
3153010942::CN::RM_59f33ecc-113a-4a8b-b7a9-b670a1723f69 = "时间是凌晨01:17...",
3153010942::EN::RM_5c428047-3633-43e6-80f0-9947c52aeb95 = "Which means the bullets are still in the patient!",
3153010942::CN::RM_5c428047-3633-43e6-80f0-9947c52aeb95 = "这意味着子弹仍然在患者体内!",
3153010942::EN::RM_61ec5432-fe2b-4583-b1ba-f5977f03b01d = "All done, let's cover this up with a bandage.",
3153010942::CN::RM_61ec5432-fe2b-4583-b1ba-f5977f03b01d = "全部完成,我们来盖上绷带.",
3153010942::EN::RM_62a808f6-37d2-4f2a-ae94-89758c350a2d = "And to finish up - some disinfectant.",
3153010942::CN::RM_62a808f6-37d2-4f2a-ae94-89758c350a2d = "最后,我们来消毒一下.",
3153010942::EN::RM_6447fc5a-0502-4c0e-85f7-57096669d4e4 = "Indeed - and a possible leg fracture too!",
3153010942::CN::RM_6447fc5a-0502-4c0e-85f7-57096669d4e4 = "确实——可能还有腿部骨折!",
3153010942::EN::RM_67329806-8834-48ea-a240-f31b262b373d = "What's the situation, officer?",
3153010942::CN::RM_67329806-8834-48ea-a240-f31b262b373d = "警官,情况如何?",
3153010942::EN::RM_67cfb0ff-3b6b-4b48-8491-6e8088224bb8 = "But it is better to clean it now before the wound becomes infected!",
3153010942::CN::RM_67cfb0ff-3b6b-4b48-8491-6e8088224bb8 = "但现在清理伤口比它感染要好!",
3153010942::EN::RM_68ac8977-55fc-4cb1-99f5-11c108bbd0d3 = "Will I be able to go back to work?",
3153010942::CN::RM_68ac8977-55fc-4cb1-99f5-11c108bbd0d3 = "我能回去工作吗?",
3153010942::EN::RM_6905bf5a-b4ec-47e0-baea-4a7471920085 = "Is the woman conscious, nurse?",
3153010942::CN::RM_6905bf5a-b4ec-47e0-baea-4a7471920085 = "护士,这位女士还清醒吗?",
3153010942::EN::RM_6ad07667-7ef9-4cc5-9c62-73f28a51bbfb = "This will take time to heal.",
3153010942::CN::RM_6ad07667-7ef9-4cc5-9c62-73f28a51bbfb = "这需要时间恢复.",
3153010942::EN::RM_6ca6d3c8-8307-45a7-a7c4-ad41ad4b65a9 = "Tweezers... Tray...",
3153010942::CN::RM_6ca6d3c8-8307-45a7-a7c4-ad41ad4b65a9 = "镊子...托盘...",
3153010942::EN::RM_6d075b9d-2712-4b39-81dc-d62da8b82cf4 = "One male. Name - Richard...",
3153010942::CN::RM_6d075b9d-2712-4b39-81dc-d62da8b82cf4 = "一名男性.名字是理查德...",
3153010942::EN::RM_6f98888f-2e1c-4895-b465-8e97d94adee5 = "VHS: KY Medical Frontline E2",
3153010942::CN::RM_6f98888f-2e1c-4895-b465-8e97d94adee5 = "VHS: 肯塔基医疗前线 E2",
3153010942::EN::RM_7030bc29-e25a-40f9-9241-d5be57ecfb3d = "Oww...",
3153010942::CN::RM_7030bc29-e25a-40f9-9241-d5be57ecfb3d = "哎呀...",
3153010942::EN::RM_70bcbb6e-8878-4e50-ad06-a94281fb69b7 = "Perhaps Carlos should learn safer workplace practices...",
3153010942::CN::RM_70bcbb6e-8878-4e50-ad06-a94281fb69b7 = "或许卡洛斯应该学习更安全的工作习惯...",
3153010942::EN::RM_715d0f7d-2943-46f8-a686-26b9ba09511d = "I keep telling Carlos to not smoke while I'm working!",
3153010942::CN::RM_715d0f7d-2943-46f8-a686-26b9ba09511d = "我一直告诉卡洛斯不要在我工作时抽烟!",
3153010942::EN::RM_73715d9f-f0be-4ae2-8b4c-1fa31824f340 = "Let's assess the patient.",
3153010942::CN::RM_73715d9f-f0be-4ae2-8b4c-1fa31824f340 = "我们开始评估患者情况.",
3153010942::EN::RM_73b3f77d-29f9-4ed8-bcb5-3442b1b85661 = "Propane tank exploded while I was welding...",
3153010942::CN::RM_73b3f77d-29f9-4ed8-bcb5-3442b1b85661 = "焊接时丙烷罐爆炸了...",
3153010942::EN::RM_73d0ab21-768f-476b-8054-e8dfbc23190e = "Follow Doctor Monroe and staff and learn how to treat a deep wound in this edition of KY Medical Frontline.",
3153010942::CN::RM_73d0ab21-768f-476b-8054-e8dfbc23190e = "跟随门罗医生和工作人员,学习如何治疗深伤口,这是本期肯塔基医疗前线的内容.",
3153010942::EN::RM_74e095e2-0bc0-42e0-96fb-2055815c7752 = "His mother has rushed him into A&E...",
3153010942::CN::RM_74e095e2-0bc0-42e0-96fb-2055815c7752 = "他的母亲急忙将他送进了急诊室...",
3153010942::EN::RM_753872df-fa43-462b-9d46-4d01facd063f = "Steady, no need to rush...",
3153010942::CN::RM_753872df-fa43-462b-9d46-4d01facd063f = "保持稳定,不用着急...",
3153010942::EN::RM_75a5bf2d-f756-477d-b3b4-c1d8ef67ee44 = "Thanks, doc.",
3153010942::CN::RM_75a5bf2d-f756-477d-b3b4-c1d8ef67ee44 = "谢谢医生.",
3153010942::EN::RM_7855929f-e86f-4f5e-b53e-1d13002db147 = "And where did you learn how to do this?",
3153010942::CN::RM_7855929f-e86f-4f5e-b53e-1d13002db147 = "你从哪儿学来的这些?",
3153010942::EN::RM_7a75f3c7-a203-4f8f-86d6-83eb0401aabb = "*dink*",
3153010942::CN::RM_7a75f3c7-a203-4f8f-86d6-83eb0401aabb = "*叮*",
3153010942::EN::RM_7d3dc355-5b57-4b0a-ba99-cb714ce3411c = "That'll do, and something to tie it together...",
3153010942::CN::RM_7d3dc355-5b57-4b0a-ba99-cb714ce3411c = "可以,还需要一些东西来绑住它...",
3153010942::EN::RM_7e8776f9-de1d-4ba0-a14a-9dfc639b81a2 = "Now this may sting a little...",
3153010942::CN::RM_7e8776f9-de1d-4ba0-a14a-9dfc639b81a2 = "现在可能会有点刺痛...",
3153010942::EN::RM_809a875f-1a5f-4eec-a07c-1c30634d831d = "We can't risk moving him until we get them splinted",
3153010942::CN::RM_809a875f-1a5f-4eec-a07c-1c30634d831d = "在固定之前,我们不能冒险移动他",
3153010942::EN::RM_80b37630-2fcd-46bc-a89a-60560f05690b = "But we only have two splints in the van...",
3153010942::CN::RM_80b37630-2fcd-46bc-a89a-60560f05690b = "但我们车里只有两个夹板...",
3153010942::EN::RM_82c46f42-64b4-4ad7-8eca-816b3e87bcc9 = "Thanks, we'll take it from here.",
3153010942::CN::RM_82c46f42-64b4-4ad7-8eca-816b3e87bcc9 = "谢谢,我们接下来处理.",
3153010942::EN::RM_83890572-ec4a-40e3-ab42-02d60c05b542 = "Take it easy for a day or two...",
3153010942::CN::RM_83890572-ec4a-40e3-ab42-02d60c05b542 = "这两天注意休息...",
3153010942::EN::RM_85728c57-627d-4379-9395-665066ec4776 = "We can move her to intensive care.",
3153010942::CN::RM_85728c57-627d-4379-9395-665066ec4776 = "我们可以把她转移到重症监护室.",
3153010942::EN::RM_86a03300-b34c-48d3-9ecd-e30827bda777 = "I like the way you think, nurse!",
3153010942::CN::RM_86a03300-b34c-48d3-9ecd-e30827bda777 = "护士,你的想法很好!",
3153010942::EN::RM_8869e7a0-c92b-4090-887e-ae953efc3179 = "You think we can cure the speed demon in him too?",
3153010942::CN::RM_8869e7a0-c92b-4090-887e-ae953efc3179 = "你觉得我们也能治好他的飙车瘾吗?",
3153010942::EN::RM_8d1f38ac-4f0c-410c-a247-04e01c624a3a = "Learned this in boy scouts...",
3153010942::CN::RM_8d1f38ac-4f0c-410c-a247-04e01c624a3a = "在童子军学的...",
3153010942::EN::RM_8d7ecbab-c0e8-4843-87a1-6a59964faf0d = "Maybe we should start to close her up?",
3153010942::CN::RM_8d7ecbab-c0e8-4843-87a1-6a59964faf0d = "也许我们该开始缝合了?",
3153010942::EN::RM_8ff6c6be-ebb8-42b4-9ccb-515de57d0f73 = "Episode 2: Deep Wounds",
3153010942::CN::RM_8ff6c6be-ebb8-42b4-9ccb-515de57d0f73 = "第2集: 深伤口",
3153010942::EN::RM_91e040db-5de6-4960-8375-147ee6b47347 = "VHS: KY Medical Frontline E1",
3153010942::CN::RM_91e040db-5de6-4960-8375-147ee6b47347 = "VHS: 肯塔基医疗前线 E1",
3153010942::EN::RM_93c7331c-f418-4c6f-8b81-0d60af796d1b = "Sterilise them first...",
3153010942::CN::RM_93c7331c-f418-4c6f-8b81-0d60af796d1b = "先消毒...",
3153010942::EN::RM_958edf1f-a034-417d-8f96-f4410fafbe87 = "An armed robbery gone wrong...",
3153010942::CN::RM_958edf1f-a034-417d-8f96-f4410fafbe87 = "一起失败的武装抢劫...",
3153010942::EN::RM_9b8e6828-cbe2-4458-807a-8f94120f7bfb = "A young female is rushed in after being shot...",
3153010942::CN::RM_9b8e6828-cbe2-4458-807a-8f94120f7bfb = "一名年轻女性中枪后被紧急送医...",
3153010942::EN::RM_a07adebe-bdec-4edf-9df7-1ff797ba07f0 = "Grab a bandage too - it will help keep things clean.",
3153010942::CN::RM_a07adebe-bdec-4edf-9df7-1ff797ba07f0 = "再拿一条绷带——这有助于保持清洁.",
3153010942::EN::RM_a3780b47-728f-42e8-9e02-599209132ae4 = "We recommend taking a couple of weeks off work...",
3153010942::CN::RM_a3780b47-728f-42e8-9e02-599209132ae4 = "我们建议您休息几周...",
3153010942::EN::RM_a651276f-271d-455d-889c-be334c65bb8a = "No - but it's better than nothing",
3153010942::CN::RM_a651276f-271d-455d-889c-be334c65bb8a = "不靠谱——但总比没有强",
3153010942::EN::RM_a7ceefe7-0b1d-4603-942a-8c504fbeae5f = "You will also need to redress the wounds regularly.",
3153010942::CN::RM_a7ceefe7-0b1d-4603-942a-8c504fbeae5f = "您还需要定期更换敷料.",
3153010942::EN::RM_aca3ea11-8eac-4062-8d0a-7718e0531c90 = "A high-speed disaster, his father's Cossette in pieces...",
3153010942::CN::RM_aca3ea11-8eac-4062-8d0a-7718e0531c90 = "一场高速车祸,他父亲的科赛特车成了碎片...",
3153010942::EN::RM_ae25d422-5d76-48eb-8999-dc4ec3ea1f49 = "Perfect, tie it together and apply to the patient.",
3153010942::CN::RM_ae25d422-5d76-48eb-8999-dc4ec3ea1f49 = "完美,绑在一起并固定到患者身上.",
3153010942::EN::RM_b49a7726-8c3d-4689-98c2-0eadff2087e6 = "Ride along with the paramedic team and learn how to treat fractured limbs in this edition of KY Medical Frontline.",
3153010942::CN::RM_b49a7726-8c3d-4689-98c2-0eadff2087e6 = "与急救团队一起行动,学习如何治疗骨折的肢体,这是本期肯塔基医疗前线的内容.",
3153010942::EN::RM_bc2e4c07-78ce-40d8-8aee-864e1a8218f6 = "We arrive with the paramedics to the scene of the accident...",
3153010942::CN::RM_bc2e4c07-78ce-40d8-8aee-864e1a8218f6 = "我们和医护人员一起赶到事故现场...",
3153010942::EN::RM_c06028fe-b78a-4b24-889e-0adb806c8be8 = "Episode 1: Lacerations",
3153010942::CN::RM_c06028fe-b78a-4b24-889e-0adb806c8be8 = "第1集: 撕裂伤",
3153010942::EN::RM_c0fbfdfb-c9ec-4a96-8782-65d0d998acb4 = "Patient's looking pale doc...",
3153010942::CN::RM_c0fbfdfb-c9ec-4a96-8782-65d0d998acb4 = "医生,患者看起来很苍白...",
3153010942::EN::RM_c149d3b3-4442-47de-8c49-4bb36a7d8ba3 = "That should hold...",
3153010942::CN::RM_c149d3b3-4442-47de-8c49-4bb36a7d8ba3 = "这样应该可以了...",
3153010942::EN::RM_c2e2fd91-a8f8-44d1-9e4f-d63f1dc2c0f2 = "We have some rags somewhere in the van...",
3153010942::CN::RM_c2e2fd91-a8f8-44d1-9e4f-d63f1dc2c0f2 = "车里有些破布...",
3153010942::EN::RM_c5c971d0-823c-4e09-a875-631c547731a2 = "The time is 14:50pm...",
3153010942::CN::RM_c5c971d0-823c-4e09-a875-631c547731a2 = "时间是下午14:50...",
3153010942::EN::RM_c6e46e67-1f17-4f73-a59a-6a0002d2829b = "Follow Doctor Monroe and staff and learn how to treat burns in this edition of KY Medical Frontline.",
3153010942::CN::RM_c6e46e67-1f17-4f73-a59a-6a0002d2829b = "跟随门罗医生和工作人员,学习如何治疗烧伤,这是本期肯塔基医疗前线的内容.",
3153010942::EN::RM_c6f31825-92d3-459f-b795-c484f2cdb9e5 = "Let's get them out, shall we?",
3153010942::CN::RM_c6f31825-92d3-459f-b795-c484f2cdb9e5 = "我们开始吧,好吗?",
3153010942::EN::RM_cafe1bd5-17ab-4442-b7d2-cfc77355bb93 = "Right here doc!",
3153010942::CN::RM_cafe1bd5-17ab-4442-b7d2-cfc77355bb93 = "就在这里,医生!",
3153010942::EN::RM_cdea6360-92a4-47ab-85ea-6173b6e8725d = "We'll get the nurse here to apply a bandage to the area...",
3153010942::CN::RM_cdea6360-92a4-47ab-85ea-6173b6e8725d = "我们会让护士来包扎伤口...",
3153010942::EN::RM_d4a34c89-05a0-4a5c-83c5-50bc45c599b5 = "Really handy if you're out hiking and get into trouble!",
3153010942::CN::RM_d4a34c89-05a0-4a5c-83c5-50bc45c599b5 = "徒步旅行遇到麻烦时很管用!",
3153010942::EN::RM_d8b4a37f-a3ed-4a0f-869d-940673926373 = "<groans>",
3153010942::CN::RM_d8b4a37f-a3ed-4a0f-869d-940673926373 = "<呻吟>",
3153010942::EN::RM_db15e1df-e477-4b7c-b6df-32c26a11bb81 = "Looks like you have a nasty cut on your leg there, Timmy.",
3153010942::CN::RM_db15e1df-e477-4b7c-b6df-32c26a11bb81 = "蒂米,看起来你腿上有个严重的伤口.",
3153010942::EN::RM_dc12d090-a5b5-438d-9173-476e6945decd = "VHS: KY Medical Frontline E4",
3153010942::CN::RM_dc12d090-a5b5-438d-9173-476e6945decd = "VHS: 肯塔基医疗前线 E4",
3153010942::EN::RM_ddc8f944-59df-457e-8474-4a36b10d24f7 = "Haha, doubt it!",
3153010942::CN::RM_ddc8f944-59df-457e-8474-4a36b10d24f7 = "哈哈,恐怕不行!",
3153010942::EN::RM_e07e72b9-1e52-4824-a134-fa981ecd1712 = "Let's get that sorted out!",
3153010942::CN::RM_e07e72b9-1e52-4824-a134-fa981ecd1712 = "我们来处理一下吧!",
3153010942::EN::RM_e0df9d6b-f9ad-4290-a21f-37d620b11b86 = "Haha, take care now...",
3153010942::CN::RM_e0df9d6b-f9ad-4290-a21f-37d620b11b86 = "哈哈,保重...",
3153010942::EN::RM_e29799a8-817c-4d04-b685-26b05933ac16 = "Cleaning burns is always difficult...",
3153010942::CN::RM_e29799a8-817c-4d04-b685-26b05933ac16 = "清理烧伤总是很困难...",
3153010942::EN::RM_e3f016c6-f640-4d7a-bfeb-c8d0167823bc = "The time is 10:47am...",
3153010942::CN::RM_e3f016c6-f640-4d7a-bfeb-c8d0167823bc = "时间是上午10:47...",
3153010942::EN::RM_e4a497fa-68ad-487e-ace8-27bf62df7e47 = "Could we use cotton balls and disinfectant instead?",
3153010942::CN::RM_e4a497fa-68ad-487e-ace8-27bf62df7e47 = "我们用棉球和消毒液怎么样?",
3153010942::EN::RM_e5279f70-cda1-4dca-8baf-704d93381786 = "We could always improvise one",
3153010942::CN::RM_e5279f70-cda1-4dca-8baf-704d93381786 = "我们可以临时做一个",
3153010942::EN::RM_e63d30e5-9254-4be2-a123-d7b0e34726d9 = "An infection would be much worse!",
3153010942::CN::RM_e63d30e5-9254-4be2-a123-d7b0e34726d9 = "感染会糟糕得多!",
3153010942::EN::RM_e744b231-ff57-445f-94aa-1c59883f02a6 = "Please lie on the bed, we will see what we can do.",
3153010942::CN::RM_e744b231-ff57-445f-94aa-1c59883f02a6 = "请躺在床上,我们会尽力处理.",
3153010942::EN::RM_eaa92700-af80-4b5a-ad15-32629c5684d7 = "Andreas",
3153010942::CN::RM_eaa92700-af80-4b5a-ad15-32629c5684d7 = "安德烈亚斯",
3153010942::EN::RM_f161b3cc-d936-486a-a735-2f64249478e3 = "And there's the other!",
3153010942::CN::RM_f161b3cc-d936-486a-a735-2f64249478e3 = "第二颗也出来了!",
3153010942::EN::RM_f29c72c9-ec3a-4331-9649-222c9063c303 = "Burns are easy to get infected!",
3153010942::CN::RM_f29c72c9-ec3a-4331-9649-222c9063c303 = "烧伤很容易感染!",
3153010942::EN::RM_f66352be-fe31-495e-bbb5-8346149c547e = "Much better.",
3153010942::CN::RM_f66352be-fe31-495e-bbb5-8346149c547e = "好多了.",
3153010942::EN::RM_f70e1dc0-cfda-4a0a-9657-e85670d112fb = "Let's get this guy off to the hospital...",
3153010942::CN::RM_f70e1dc0-cfda-4a0a-9657-e85670d112fb = "我们赶紧送他去医院...",
3153010942::EN::RM_f733b08a-cbd5-4948-8cc0-20ac75548008 = "Major blood loss...",
3153010942::CN::RM_f733b08a-cbd5-4948-8cc0-20ac75548008 = "大量失血...",
3153010942::EN::RM_f93bb0ac-d29f-4b30-a608-72e76a16f149 = "Two gunshot wounds to the upper chest...",
3153010942::CN::RM_f93bb0ac-d29f-4b30-a608-72e76a16f149 = "上胸有两处枪伤...",
3153010942::EN::RM_fa0cceec-f410-4468-8e25-76149b3edd02 = "Episode 4: Burns",
3153010942::CN::RM_fa0cceec-f410-4468-8e25-76149b3edd02 = "第4集: 烧伤",
3153010942::EN::RM_faebe64c-f36f-422f-a2a7-2db82e91dc4d = "So, let's use some bandages.",
3153010942::CN::RM_faebe64c-f36f-422f-a2a7-2db82e91dc4d = "所以,我们用些绷带吧.",
3153010942::EN::RM_fb22f3e9-e5b0-431b-84f0-34d8dd157bde = "<sigh>",
3153010942::CN::RM_fb22f3e9-e5b0-431b-84f0-34d8dd157bde = "<叹气>",
3153010942::EN::RM_fb6e72d0-200c-4d08-aead-371c11647b56 = "Ha, You're telling me!",
3153010942::CN::RM_fb6e72d0-200c-4d08-aead-371c11647b56 = "哈,你说得对!",
3153010942::EN::RM_fd13ee28-0cba-454b-9a3e-01ac59e077b7 = "Don't worry, it looks like a simple laceration, that's all.",
3153010942::CN::RM_fd13ee28-0cba-454b-9a3e-01ac59e077b7 = "别担心,看起来只是简单的撕裂伤.",
3153010942::EN::RM_ff3bdfaf-d654-4ade-a2ac-3141f4c18338 = "VHS: KY Medical Frontline E3",
3153010942::CN::RM_ff3bdfaf-d654-4ade-a2ac-3141f4c18338 = "VHS: 肯塔基医疗前线 E3",
3153010942::EN::RM_ffd7ab95-775d-4369-81b8-e7103eb9cd71 = "And what is your name little guy?",
3153010942::CN::RM_ffd7ab95-775d-4369-81b8-e7103eb9cd71 = "小家伙,你叫什么名字?",


------ 3464551542 :: Functional Car Lift ------

3464551542::EN::ItemName_FunctionalCarLift.CarLiftCenter = "Car Lift Center",
3464551542::CN::ItemName_FunctionalCarLift.CarLiftCenter = "汽车举升机 (中部)",
3464551542::EN::ItemName_FunctionalCarLift.CarLiftColumn = "Car Lift Column",
3464551542::CN::ItemName_FunctionalCarLift.CarLiftColumn = "汽车举升机 (立柱)",
3464551542::EN::ItemName_FunctionalCarLift.CarLiftMag = "Carzone Commodities: Car Lift",
3464551542::CN::ItemName_FunctionalCarLift.CarLiftMag = "汽车地带商品目录: 汽车举升机",
3464551542::EN::Recipe_CraftCarLiftCenter = "Craft Car Lift (center)",
3464551542::CN::Recipe_CraftCarLiftCenter = "制作汽车举升机 (中部)",
3464551542::EN::Recipe_CraftCarLiftColumn = "Craft Car Lift (column)",
3464551542::CN::Recipe_CraftCarLiftColumn = "制作汽车举升机 (立柱)",
3464551542::EN::Sandbox_CarLift = "Car Lift",
3464551542::CN::Sandbox_CarLift = "汽车举升机",
3464551542::EN::Sandbox_FunctionalCarLift_ConvertVanilla = "Convert to Movable Tiles",
3464551542::CN::Sandbox_FunctionalCarLift_ConvertVanilla = "转换为可移动地块",
3464551542::EN::Sandbox_FunctionalCarLift_ConvertVanilla_tooltip = "Convert vanilla tiles into moveable tiles. This process can be undone with the revert option.",
3464551542::CN::Sandbox_FunctionalCarLift_ConvertVanilla_tooltip = "将原版地块转换为可移动地块. 此过程可以通过还原选项撤销.",
3464551542::EN::Sandbox_FunctionalCarLift_Range = "Range",
3464551542::CN::Sandbox_FunctionalCarLift_Range = "范围",
3464551542::EN::Sandbox_FunctionalCarLift_Range_tooltip = "The distance range from the vehicle where the car lift operates.",
3464551542::CN::Sandbox_FunctionalCarLift_Range_tooltip = "汽车举升机可对车辆进行操作的距离范围.",
3464551542::EN::Sandbox_FunctionalCarLift_RequirePower = "Require Power",
3464551542::CN::Sandbox_FunctionalCarLift_RequirePower = "需要电力",
3464551542::EN::Sandbox_FunctionalCarLift_RequirePower_tooltip = "Indicates if the car lift requires available power to operate, whether it is from hydro (world power) or a generator.",
3464551542::CN::Sandbox_FunctionalCarLift_RequirePower_tooltip = "设置汽车举升机是否需要电力才能运行, 电力可以来自市政供电或发电机.",
3464551542::EN::Sandbox_FunctionalCarLift_RevertVanilla = "Revert to Vanilla Tiles",
3464551542::CN::Sandbox_FunctionalCarLift_RevertVanilla = "还原为原版地块",
3464551542::EN::Sandbox_FunctionalCarLift_RevertVanilla_tooltip = "Revert moveable car lift tiles into vanilla tiles. To succesfully revert, this option must be kept enabled until ALL tiles are reverted.",
3464551542::CN::Sandbox_FunctionalCarLift_RevertVanilla_tooltip = "将可移动的汽车举升机地块还原为原版地块. 为成功还原, 必须在所有地块被还原前保持此选项开启.",


------ 3388844542 :: Minimal Display Bars + Nutritions + Discomfort [B41/B42 MP WORKING] ------

3388844542::EN::ContextMenu_MinimalDisplayBars_All = "All",
3388844542::CN::ContextMenu_MinimalDisplayBars_All = "所有",
3388844542::EN::ContextMenu_MinimalDisplayBars_Height = "Height",
3388844542::CN::ContextMenu_MinimalDisplayBars_Height = "高度",
3388844542::EN::ContextMenu_MinimalDisplayBars_Hide = "Hide",
3388844542::CN::ContextMenu_MinimalDisplayBars_Hide = "隐藏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Hide_All_Display_Bars = "Hide All Display Bars",
3388844542::CN::ContextMenu_MinimalDisplayBars_Hide_All_Display_Bars = "隐藏所有显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Hide_Bar = "Hide Bar",
3388844542::CN::ContextMenu_MinimalDisplayBars_Hide_Bar = "隐藏栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_IconSize = "Icon Size",
3388844542::CN::ContextMenu_MinimalDisplayBars_IconSize = "图标大小",
3388844542::EN::ContextMenu_MinimalDisplayBars_OFF = "OFF",
3388844542::CN::ContextMenu_MinimalDisplayBars_OFF = "关闭",
3388844542::EN::ContextMenu_MinimalDisplayBars_ON = "ON",
3388844542::CN::ContextMenu_MinimalDisplayBars_ON = "开启",
3388844542::EN::ContextMenu_MinimalDisplayBars_Reset = "Reset All",
3388844542::CN::ContextMenu_MinimalDisplayBars_Reset = "重置所有",
3388844542::EN::ContextMenu_MinimalDisplayBars_Reset_Display_Bar = "Reset Display Bar",
3388844542::CN::ContextMenu_MinimalDisplayBars_Reset_Display_Bar = "重置显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_RestoreYourSettings = "RESTORE YOUR SETTINGS",
3388844542::CN::ContextMenu_MinimalDisplayBars_RestoreYourSettings = "恢复您的设置",
3388844542::EN::ContextMenu_MinimalDisplayBars_Set_Color = "Set Color",
3388844542::CN::ContextMenu_MinimalDisplayBars_Set_Color = "设置颜色",
3388844542::EN::ContextMenu_MinimalDisplayBars_Set_HeightWidth = "Set Height/Width",
3388844542::CN::ContextMenu_MinimalDisplayBars_Set_HeightWidth = "设置高/宽",
3388844542::EN::ContextMenu_MinimalDisplayBars_Set_Horizontal = "Set Horizontal",
3388844542::CN::ContextMenu_MinimalDisplayBars_Set_Horizontal = "设为水平",
3388844542::EN::ContextMenu_MinimalDisplayBars_Set_Vertical = "Set Vertical",
3388844542::CN::ContextMenu_MinimalDisplayBars_Set_Vertical = "设为垂直",
3388844542::EN::ContextMenu_MinimalDisplayBars_Show_All_Display_Bars = "Show All Display Bars",
3388844542::CN::ContextMenu_MinimalDisplayBars_Show_All_Display_Bars = "显示所有显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Show_Bar = "Show Bar",
3388844542::CN::ContextMenu_MinimalDisplayBars_Show_Bar = "显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Title = "Minimal Display Bars",
3388844542::CN::ContextMenu_MinimalDisplayBars_Title = "极简显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Always_Bring_Display_Bars_To_Top = "Toggle Always Bring Display Bars To Top",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Always_Bring_Display_Bars_To_Top = "切换: 始终置顶显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Compact = "Toggle Compact",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Compact = "切换: 紧凑模式",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Export_Preset = "Export Preset",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Export_Preset = "导出预设",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Import_Preset = "Import Preset",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Import_Preset = "导入预设",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Load_Preset = "Load Preset",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Load_Preset = "加载预设",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Moodlet_Threshold_Lines = "Toggle Moodlet Threshold Lines on Display Bars",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Moodlet_Threshold_Lines = "切换: 显示栏上的情绪阈值线",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Movable_All = "Toggle Movable For All",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Movable_All = "切换: 全部可移动",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Move_Bars_Together = "Toggle Move Display Bars Together",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Move_Bars_Together = "切换: 共同移动显示栏",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Resizable_All = "Toggle Resizable For All",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Resizable_All = "切换: 全部可调整大小",
3388844542::EN::ContextMenu_MinimalDisplayBars_Toggle_Show_Icon = "Toggle Display Bar Icons",
3388844542::CN::ContextMenu_MinimalDisplayBars_Toggle_Show_Icon = "切换: 显示栏图标",
3388844542::EN::ContextMenu_MinimalDisplayBars_Tutorial_LeftClick = "Left Click Hold + Drag to move.",
